tweet_id,author_id,conversation_id,timestamp,geolocation_id,num_likes,num_retweets,text,
17575,8.1188E+17,None,29-11-2020 07:45,None,3,2,"\xe2\x9c\xa812\xe6\x9c\x8810\xe6\x97\xa5\xe7\x99\xba\xe5\xa3\xb2\xe4\xba\x88\xe5\xae\x9a\xe2\x9c\xa8\n\xf0\x9f\x8e\xaePS4\xe3\x82\xbd\xe3\x83\x95\xe3\x83\x88\xe3\x80\x8c\xe3\x82\xb5\xe3\x82\xa4\xe3\x83\x90\xe3\x83\xbc\xe3\x83\x91\xe3\x83\xb3\xe3\x82\xaf20'
",
17576,484653715,None,29-11-2020 07:44,None,0,503,"RT @CP2077Countdown: 12 days. '
",
17577,2968974720,None,29-11-2020 07:44,None,0,1,"Well, the first image is where'
",
17578,7.93587E+17,None,29-11-2020 07:43,None,0,1749,"RT @CyberpunkGame: Attention c'
",
17579,7.86151E+17,None,29-11-2020 07:43,None,0,1675,"RT @GrabthegamesP: Enter For A'
",
17580,8.56803E+17,None,29-11-2020 07:42,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17581,115334075,None,29-11-2020 07:42,None,0,0,"Cyberpunk 2077 muestra oficial'
",
17582,1.32374E+18,None,29-11-2020 07:42,None,0,1813,"RT @vloot_io: Cyberpunk 2077 G'
",
17583,2967917568,1.33268E+18,29-11-2020 07:41,None,0,0,"@CP2077Countdown OMG 12 Days a'
",
17584,1.27194E+18,None,29-11-2020 07:41,None,0,2,"RT @PS5Countdowns: 10 Days #Cy'
",
17585,1.18095E+18,None,29-11-2020 07:40,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17586,1.13964E+18,None,29-11-2020 07:40,None,0,1749,"RT @CyberpunkGame: Attention c'
",
17587,127179965,None,29-11-2020 07:40,None,0,476,"RT @configgamer: \xf0\x9f\x8e\x81 #JeuConcour'
",
17588,71149510,None,29-11-2020 07:40,None,0,351,"RT @KTX_games: \xf0\x9f\x9a\xa8500 FOLLOWER G'
",
17589,1.29899E+18,1.33266E+18,29-11-2020 07:40,None,0,0,"@AORUS_DE #Cyberpunk2077 #RTXo'
",
17590,855160874,None,29-11-2020 07:40,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17591,2967917568,None,29-11-2020 07:40,None,0,0,"12 Days \xf0\x9f\x94\xa5\xf0\x9f\x91\xb9\xf0\x9f\x92\x98\xf0\x9f\x98\xbb\xf0\x9f\x8e\x89 #Cyberpunk2077 #'
",
17592,3896938527,None,29-11-2020 07:39,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17593,2967917568,None,29-11-2020 07:39,None,0,503,"RT @CP2077Countdown: 12 days. '
",
17594,7.27382E+17,None,29-11-2020 07:39,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17595,219210934,None,29-11-2020 07:39,None,0,279,"RT @CP2077Countdown: Poll: The'
",
17596,2967917568,None,29-11-2020 07:39,None,0,0,"Okidoki\xe2\x9d\xa3\xef\xb8\x8fi love judy alvarese '
",
17597,1.16206E+18,None,29-11-2020 07:39,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17598,300078615,1.33295E+18,29-11-2020 07:38,None,1,0,"@AblazaLuis I\'m gonna be playi'
",
