tid,uid
16369,4873629827
17018,528766381
16976,1232101451637370880
15652,1277910793896579072
16082,1933729152
16427,4873629827
15317,2846405197
16514,724653202185031680
16513,1068201848
16840,877199693884702720
15277,1018389632
15637,3279858643
15126,1055359474934923264
15253,955413993757315072
17574,1183531733939081217
16741,2577200227
16197,1299038482992693250
16140,3279858643
17071,333203167
15142,904223288150384640
17451,1060287107393052673
16947,3022274645
16024,1266847017483022337
16425,1133627931278925824
15759,1188631069551140864
15420,1364235170
16320,1194988884385394688
15542,1331307775708835840
15710,1172170725651832832
16188,106281307
17352,1127347714428231680
16659,1127259250982629379
17485,2182158463
15419,2958999760
17466,939224947
16782,977652854
17497,1171455030
17418,243227856
16425,3334847908
16407,1025660382
15057,854985548
15221,3774723269
15888,152766889
15173,887365416187682817
17343,1268497630629330946
16162,3298724978
16396,1206599505002553345
17145,1204551519493918720
16253,1190726565073522694
16333,1177547273364021249
16501,32670485
17071,1234907334645813249
15101,1206599505002553345
15390,1206599505002553345
16972,1149435962889580544
17555,1206599505002553345
17073,1149435962889580544
17180,1320294917135126528
16685,1075818083518963718
17520,858354920004734976
17491,763801604
16515,1326819591880892416
15112,1178295292396879877
16214,267270138
15430,241694831
16300,865997962081701889
17215,1197350227520262144
16300,999883521576521728
17253,2533993603
16518,1312793883034746881
16280,943359265095471104
16682,3604621457
16866,1329654486672039938
17306,1535046146
15245,943359265095471104
15764,158930282
16227,999700310
15843,1298780591270359046
15764,4826793224
16443,1320003034789908482
15976,95351170
16822,1320003034789908482
15401,1332080001894780930
15140,1028656169135616000
16041,2983201993
16307,909044236481368064
17287,229664970
16119,235776743
15358,759460042730983424
16716,1325829448890019844
16649,1313523912316198913
17246,856183543
15899,1659410040
17506,1181555830073757704
15441,901205064446087170
15099,81668187
15777,18158087
17400,1131848247864115200
15413,1329907261691584517
15284,81668187
15506,1196187052892663808
16395,3163236750
16988,1635128754
15123,2842507885
15048,4277935954
15506,2455781876
17607,128489901
16242,47343068
15119,258238151
17200,1222202799850696704
15492,1222202799850696704
15492,1222202799850696704
17404,3279405948
15494,3123699243
16715,1330257240977190912
15982,3123699243
16514,934874468039700481
16977,1315343827784404992
15119,1276165059731914752
15447,1031733500523757568
17494,1002936322787602432
15408,1682496764
17094,1145315436516511744
15110,830813672566054913
15727,781392097253416960
17427,1317453228880154626
15729,2584392282
17368,1448899764
17325,976108052645601281
16771,1320003034789908482
17280,4886787783
17585,1332685617784901632
16237,1495502924
15364,96716061
17460,731795177669558272
15283,1009147154
15977,934874468039700481
15161,110201200
17605,200174809
16343,1014373421956911104
15412,27409670
15717,3064266184
16800,1573692625
16194,894698909674516481
16200,335865345
16157,146962486
16656,56008081
15933,18167592
16730,1055070675751202816
16149,1046450969255530496
15416,2740851099
16378,2177551723
16823,764568848435642368
16414,764568848435642368
17675,27190419
15269,3298724978
15003,1068282263656415238
15759,972877198867693569
15886,2600630148
16550,4861623748
15236,234519861
17242,1054797016944074753
16098,4861623748
16900,947975179250077697
17374,111258200
15841,433697321
15267,1308096028508385283
16329,74325773
16368,2202328507
16565,775695178342469632
15975,1120709730295533568
15517,1328556202997985280
16263,2867007262
17547,597434345
16398,1277176003840872448
15984,19473526
17152,1007641408273076224
17072,1103964883
15401,4811925033
17058,2780993173
15834,1225042877664964611
17485,3333180814
17126,1277176003840872448
17264,995377306473586688
17070,1277176003840872448
16449,741746048591368192
